year,school_code,longitude,latitude
2017,07-01-0080-43,-91.24044,14.82139
2017,07-01-0082-43,-91.158371,14.856427
2017,07-01-0114-43,-91.174576,14.835451
2017,07-01-0427-43,-91.183327,14.76809
2017,07-01-0430-43,-91.174461,14.809521
2017,07-01-0433-43,-91.204895,14.775377
2017,07-01-0434-43,-91.183311,14.812976
2017,07-01-0436-43,-91.158554,14.771862
2017,07-01-0438-43,-91.157303,14.808745
2017,07-01-0439-43,-91.162033,14.785816
2017,07-01-0442-43,-91.143829,14.763068
2017,07-01-0445-43,-91.172096,14.789898
2017,07-01-0474-43,-91.175552,14.826336
2017,07-01-3044-43,-91.180283,14.791849
2017,07-02-0004-43,-91.237038,14.78853
2017,07-04-0017-43,-91.276749,14.805387
2017,07-04-0018-43,-91.282684,14.765304
2017,07-04-0078-43,-91.264427,14.773415
2017,07-04-0079-43,-91.285019,14.795374
2017,07-04-0086-43,-91.271255,14.816622
2017,07-05-0020-43,-91.417282,14.76058
2017,07-05-0023-43,-91.368607,14.690683
